(Filename, System, Human) = (n,k,l,observed_overlap, baseline, i-measure, normalized_i-measure))
(D31050.NYT19981222.0021, F, E) = (268, 8, 8, 2, 0.23880597014925373, 8.375, 0.9166666666666666)
(D31050.NYT19981222.0021, F, G) = (268, 8, 8, 2, 0.23880597014925373, 8.375, 0.9166666666666666)
(D31050.NYT19981222.0021, F, H) = (268, 8, 11, 2, 0.3283582089552239, 6.090909090909091, 0.6666666666666666)
(D31050.NYT19981222.0021, H, E) = (268, 11, 8, 3, 0.3283582089552239, 9.136363636363637, 1.0)
(D31050.NYT19981222.0021, H, G) = (268, 11, 8, 1, 0.3283582089552239, 3.0454545454545454, 0.3333333333333333)
(D31050.NYT19981222.0021, H, F) = (268, 11, 8, 2, 0.3283582089552239, 6.090909090909091, 0.6666666666666666)
(D30027.APW19981002.0809, E, C) = (107, 9, 7, 1, 0.5887850467289719, 1.6984126984126986, 0.3333333333333333)
(D30027.APW19981002.0809, E, G) = (107, 9, 9, 2, 0.7570093457943925, 2.6419753086419755, 0.5185185185185185)
(D30027.APW19981002.0809, E, A) = (107, 9, 7, 3, 0.5887850467289719, 5.095238095238096, 1.0)
(D30027.APW19981002.0809, C, E) = (107, 7, 9, 1, 0.5887850467289719, 1.6984126984126986, 0.3333333333333333)
(D30027.APW19981002.0809, C, G) = (107, 7, 9, 0, 0.5887850467289719, 0.0, 0.0)
(D30027.APW19981002.0809, C, A) = (107, 7, 7, 0, 0.45794392523364486, 0.0, 0.0)
(D30027.APW19981002.0809, G, E) = (107, 9, 9, 2, 0.7570093457943925, 2.6419753086419755, 0.5185185185185185)
(D30027.APW19981002.0809, G, C) = (107, 9, 7, 0, 0.5887850467289719, 0.0, 0.0)
(D30027.APW19981002.0809, G, A) = (107, 9, 7, 1, 0.5887850467289719, 1.6984126984126986, 0.3333333333333333)
(D30027.APW19981002.0809, A, E) = (107, 7, 9, 3, 0.5887850467289719, 5.095238095238096, 1.0)
(D30027.APW19981002.0809, A, C) = (107, 7, 7, 0, 0.45794392523364486, 0.0, 0.0)
(D30027.APW19981002.0809, A, G) = (107, 7, 9, 1, 0.5887850467289719, 1.6984126984126986, 0.3333333333333333)
(D31043.APW19981130.1079, G, F) = (210, 9, 8, 1, 0.34285714285714286, 2.9166666666666665, 0.15555555555555556)
(D31043.APW19981130.1079, G, D) = (210, 9, 8, 3, 0.34285714285714286, 8.75, 0.4666666666666667)
(D31043.APW19981130.1079, G, H) = (210, 9, 7, 3, 0.3, 10.0, 0.5333333333333333)
(D31043.APW19981130.1079, F, G) = (210, 8, 9, 1, 0.34285714285714286, 2.9166666666666665, 0.15555555555555556)
(D31043.APW19981130.1079, F, D) = (210, 8, 8, 3, 0.3047619047619048, 9.84375, 0.525)
(D31043.APW19981130.1079, F, H) = (210, 8, 7, 5, 0.26666666666666666, 18.75, 1.0)
(D31043.APW19981130.1079, D, G) = (210, 8, 9, 3, 0.34285714285714286, 8.75, 0.4666666666666667)
(D31043.APW19981130.1079, D, F) = (210, 8, 8, 3, 0.3047619047619048, 9.84375, 0.525)
(D31043.APW19981130.1079, D, H) = (210, 8, 7, 2, 0.26666666666666666, 7.5, 0.4)
(D31043.APW19981130.1079, H, G) = (210, 7, 9, 3, 0.3, 10.0, 0.5333333333333333)
